team,record,active_players,avg_team_age,total_cap_used,remaining_cap_space,active_cap,active_top_3,dead_cap
DET,44-38,15.0,25.0,"$141,808,220","$-1,220,220","$133,989,678","$56,559,037","$7,818,542"
ORL,41-41,15.0,25.3,"$152,959,238","$-12,371,238","$152,959,238","$63,257,000",-
UTA,17-65,15.0,23.9,"$154,114,022","$-13,526,022","$142,648,013","$86,906,400","$11,466,009"
SAS,34-48,15.0,25.2,"$162,809,380","$-22,221,380","$155,231,927","$83,196,166","$7,577,453"
OKC,68-14,15.0,24.2,"$166,001,694","$-25,413,694","$162,209,242","$82,859,950","$3,792,452"
CHA,19-63,15.0,25.2,"$167,423,486","$-26,835,486","$152,436,862","$80,445,913","$14,986,624"
MEM,48-34,15.0,24.6,"$167,814,933","$-27,226,933","$155,850,296","$95,988,718","$8,014,853"
CHI,39-43,15.0,24.6,"$168,006,873","$-27,418,873","$157,180,244","$59,395,348","$8,739,110"
PHI,24-58,15.0,26.6,"$170,340,647","$-29,752,647","$169,548,876","$135,768,738","$791,771"
IND,50-32,15.0,25.7,"$171,232,577","$-30,644,577","$166,839,774","$104,281,300","$2,530,538"
SAC,40-42,15.0,27.4,"$171,370,782","$-30,782,782","$166,101,303","$107,131,940","$1,319,695"
HOU,52-30,15.0,25.7,"$173,496,349","$-32,908,349","$161,552,948","$78,702,108","$7,768,363"
ATL,40-42,15.0,25.3,"$174,418,704","$-33,830,704","$161,255,749","$81,912,604","$7,125,652"
LAC,50-32,15.0,27.7,"$174,670,238","$-34,082,238","$166,986,734","$102,101,025","$3,733,720"
POR,36-46,15.0,23.9,"$176,848,446","$-36,260,446","$165,518,581","$89,691,087","$1,568,032"
CLE,64-18,15.0,26.0,"$178,212,347","$-37,624,347","$169,371,096","$93,832,409","$491,175"
TOR,30-52,15.0,24.9,"$178,496,026","$-37,908,026","$154,302,912","$94,310,843","$16,405,595"
BKN,26-56,15.0,23.8,"$178,836,132","$-38,248,132","$112,077,151","$69,311,624","$58,408,905"
MIA,37-45,15.0,26.6,"$179,350,729","$-38,762,729","$173,088,172","$90,125,126",-
NOP,21-61,15.0,24.3,"$182,966,321","$-42,378,321","$167,934,095","$98,876,138","$2,715,108"
DAL,39-43,15.0,26.8,"$187,147,472","$-46,559,472","$172,077,663","$99,092,456","$2,328,828"
NYK,51-31,15.0,26.5,"$188,877,651","$-48,289,651","$188,001,268","$110,803,733","$876,383"
DEN,50-32,15.0,26.0,"$192,786,656","$-52,198,656","$182,574,315","$123,292,088",-
MIL,48-34,15.0,26.7,"$195,746,447","$-55,158,447","$183,221,333","$122,031,412",-
BOS,61-21,15.0,27.5,"$197,048,229","$-56,460,229","$193,098,445","$114,054,140",-
GSW,48-34,15.0,27.2,"$199,518,342","$-58,930,342","$176,474,440","$128,667,036","$306,447"
LAL,50-32,15.0,27.7,"$200,785,985","$-60,197,985","$182,745,885","$108,760,785","$5,514,986"
WAS,18-64,15.0,24.5,"$211,677,970","$-71,089,970","$162,581,956","$83,151,786","$7,021,331"
PHX,36-46,15.0,28.1,"$228,464,502","$-87,876,502","$210,557,299","$150,588,751","$3,814,041"
MIN,49-33,15.0,26.1,"$236,725,861","$-96,137,861","$198,847,571","$119,077,906","$3,705,899"
